date_id,Release Date,year,month,day
20,2024-12-03,2024,12,3
18,2024-08-05,2024,8,5
3,2011-03-15,2011,3,15
1,1992-01-01,1992,1,1
9,2018-04-27,2018,4,27
19,2024-10-18,2024,10,18
8,2014-08-05,2014,8,5
11,2023-11-03,2023,11,3
12,2023-12-20,2023,12,20
16,2024-06-11,2024,6,11
15,2024-05-31,2024,5,31
10,2023-04-13,2023,4,13
13,2024-04-12,2024,4,12
6,2013-02-01,2013,2,1
4,2012-01-01,2012,1,1
5,2012-02-24,2012,2,24
7,2013-06-14,2013,6,14
14,2024-05-28,2024,5,28
2,2001-04-03,2001,4,3
17,2024-06-13,2024,6,13
